10.2037 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([-1., -1., -1.]), colorSpace='rgb', fullscr=UNKNOWN, gamma=None, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x189E42B0>, name='window1', pos=[0, 0], screen=0, size=array([1920, 1080]), stereo=False, units=u'norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.9305 	EXP 	Created text_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.08, italic=False, name='text_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
10.9335 	EXP 	Created crosshair = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='crosshair', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
10.9363 	EXP 	Created Eyes_nose_only = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='caras\\eyes_nose_only.bmp', interpolate=True, mask=None, maskParams=None, name='Eyes_nose_only', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.13333333,  0.23703704]), texRes=128, units=u'norm', win=Window(...))
10.9389 	EXP 	Created Stimulis = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Stimulis', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.5,  0.5]), texRes=128, units=u'norm', win=Window(...))
10.9412 	EXP 	Created Eyes_nose_only2 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, flipHoriz=False, flipVert=False, image='caras\\eyes_nose_only.bmp', interpolate=True, mask=None, maskParams=None, name='Eyes_nose_only2', opacity=1.0, ori=0.0, pos=array([ 0.,  0.]), size=array([ 0.13333333,  0.23703704]), texRes=128, units=u'norm', win=Window(...))
10.9456 	EXP 	Created feedback_text = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='feedback_text', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
10.9530 	EXP 	Instructions: autoDraw = True
10.9530 	EXP 	Cont: autoDraw = True
15.2037 	DATA 	Keypress: right
15.2362 	EXP 	Instructions: autoDraw = False
15.2362 	EXP 	Cont: autoDraw = False
15.2362 	EXP 	Instrucciones: autoDraw = True
15.2362 	EXP 	LongMouth: autoDraw = True
15.2362 	EXP 	SmallMouth: autoDraw = True
15.2362 	EXP 	BigM: autoDraw = True
15.2362 	EXP 	LittleM: autoDraw = True
15.2362 	EXP 	Continue: autoDraw = True
16.4031 	DATA 	Keypress: right
16.4195 	EXP 	Instrucciones: autoDraw = False
16.4195 	EXP 	LongMouth: autoDraw = False
16.4195 	EXP 	SmallMouth: autoDraw = False
16.4195 	EXP 	BigM: autoDraw = False
16.4195 	EXP 	LittleM: autoDraw = False
16.4195 	EXP 	Continue: autoDraw = False
16.4195 	EXP 	text_2: autoDraw = True
17.9030 	DATA 	Keypress: right
17.9081 	EXP 	Imported SIGDETExample.xlsx as conditions, 2 conditions, 3 params
17.9085 	EXP 	Created sequence: random, trialTypes=2, nReps=2, seed=None
17.9088 	EXP 	New trial (rep=0, index=0): {u'corAns': u'v', u'Stim': u'caras\\long_mouth.bmp', u'Feedback': None}
17.9194 	EXP 	text_2: autoDraw = False
17.9194 	EXP 	Stimulis: size = array([ 0.13333333,  0.23703704])
17.9194 	EXP 	Stimulis: image = u'caras\\long_mouth.bmp'
17.9194 	EXP 	crosshair: autoDraw = True
18.9195 	EXP 	crosshair: autoDraw = False
18.9361 	EXP 	Eyes_nose_only: autoDraw = True
19.4194 	EXP 	Eyes_nose_only: autoDraw = False
19.4361 	EXP 	Stimulis: autoDraw = True
19.5194 	EXP 	Stimulis: autoDraw = False
19.6029 	DATA 	Keypress: m
19.6037 	EXP 	New trial (rep=0, index=1): {u'corAns': u'm', u'Stim': u'caras\\short_mouth.bmp', u'Feedback': None}
19.6194 	EXP 	crosshair: autoDraw = False
19.6194 	EXP 	Eyes_nose_only: autoDraw = False
19.6194 	EXP 	Stimulis: autoDraw = False
19.6194 	EXP 	Eyes_nose_only2: autoDraw = False
19.6194 	EXP 	Stimulis: size = array([ 0.13333333,  0.23703704])
19.6194 	EXP 	Stimulis: image = u'caras\\short_mouth.bmp'
19.6194 	EXP 	crosshair: autoDraw = True
20.6194 	EXP 	crosshair: autoDraw = False
20.6360 	EXP 	Eyes_nose_only: autoDraw = True
20.9195 	DATA 	Keypress: v
21.1194 	EXP 	Eyes_nose_only: autoDraw = False
21.1360 	EXP 	Stimulis: autoDraw = True
21.2193 	EXP 	Stimulis: autoDraw = False
21.6529 	DATA 	Keypress: m
21.6535 	EXP 	New trial (rep=1, index=0): {u'corAns': u'm', u'Stim': u'caras\\short_mouth.bmp', u'Feedback': None}
21.6698 	EXP 	crosshair: autoDraw = False
21.6698 	EXP 	Eyes_nose_only: autoDraw = False
21.6698 	EXP 	Stimulis: autoDraw = False
21.6698 	EXP 	Eyes_nose_only2: autoDraw = False
21.6698 	EXP 	Stimulis: size = array([ 0.13333333,  0.23703704])
21.6698 	EXP 	Stimulis: image = u'caras\\short_mouth.bmp'
21.6698 	EXP 	crosshair: autoDraw = True
22.0362 	DATA 	Keypress: v
22.2033 	DATA 	Keypress: k
22.6693 	EXP 	crosshair: autoDraw = False
22.6864 	EXP 	Eyes_nose_only: autoDraw = True
22.7696 	DATA 	Keypress: f
23.0361 	DATA 	Keypress: f
23.1693 	EXP 	Eyes_nose_only: autoDraw = False
23.1860 	EXP 	Stimulis: autoDraw = True
23.2529 	DATA 	Keypress: k
23.2693 	EXP 	Stimulis: autoDraw = False
23.8195 	DATA 	Keypress: f
24.0859 	EXP 	Eyes_nose_only2: autoDraw = True
24.3195 	DATA 	Keypress: m
24.4694 	DATA 	Keypress: v
24.6027 	DATA 	Keypress: m
24.7695 	DATA 	Keypress: v
24.8361 	DATA 	Keypress: m
25.0194 	DATA 	Keypress: v
25.0860 	DATA 	Keypress: m
25.5533 	EXP 	New trial (rep=1, index=1): {u'corAns': u'v', u'Stim': u'caras\\long_mouth.bmp', u'Feedback': None}
25.5692 	EXP 	Eyes_nose_only2: autoDraw = False
25.5692 	EXP 	crosshair: autoDraw = False
25.5692 	EXP 	Eyes_nose_only: autoDraw = False
25.5692 	EXP 	Stimulis: autoDraw = False
25.5692 	EXP 	Eyes_nose_only2: autoDraw = False
25.5692 	EXP 	Stimulis: size = array([ 0.13333333,  0.23703704])
25.5692 	EXP 	Stimulis: image = u'caras\\long_mouth.bmp'
25.5692 	EXP 	crosshair: autoDraw = True
25.6033 	DATA 	Keypress: m
26.5692 	EXP 	crosshair: autoDraw = False
26.5859 	EXP 	Eyes_nose_only: autoDraw = True
26.9860 	DATA 	Keypress: v
27.0691 	EXP 	Eyes_nose_only: autoDraw = False
27.0858 	EXP 	Stimulis: autoDraw = True
27.1691 	EXP 	Stimulis: autoDraw = False
27.9858 	EXP 	Eyes_nose_only2: autoDraw = True
28.3693 	DATA 	Keypress: v
28.7526 	DATA 	Keypress: m
29.4857 	EXP 	Eyes_nose_only2: autoDraw = False
29.4857 	EXP 	crosshair: autoDraw = False
29.4857 	EXP 	Eyes_nose_only: autoDraw = False
29.4857 	EXP 	Stimulis: autoDraw = False
29.4857 	EXP 	Eyes_nose_only2: autoDraw = False
29.4857 	EXP 	feedback_text: text = 'Thanks for participating - that took 0.31 minutes in total'
29.4857 	EXP 	feedback_text: autoDraw = True
32.4667 	EXP 	window1: mouseVisible = True
